model_name,trial_number,split_index,split_id,validation_rows,validation_quote_start,validation_quote_end,selected_metric_name,selected_metric_value,running_mean_selected_metric,legacy_pooled_observed_wrmse,split_runtime_seconds,trial_status,warning_reason,elasticnet_tol,elasticnet_max_iter,elasticnet_convergence_warning_message,lightgbm_n_factors,lightgbm_inner_fit_count,neural_best_epoch,neural_prediction_mean,neural_target_mean,neural_prediction_target_ratio,neural_prediction_below_1e_6_share,neural_calendar_penalty,neural_convexity_penalty,neural_roughness_penalty
neural_surface,4,1,split_0001,126,2006-03-06,2006-08-31,observed_mse_total_variance,0.0009521539646725842,0.0009101393912973829,0.03125995925046192,0.4808219589976943,completed_split,,,,,,,1,8.315001053611471e-7,0.013902221911865097,0.000059810590755387715,0.9985302763080541,9.241876455234888e-7,0.00005055649307905696,4.384152063607871e-8
neural_surface,4,2,split_0002,126,2006-04-04,2006-10-02,observed_mse_total_variance,0.0010247954102910772,0.0009483580642952811,0.032299740359507965,0.49680841600638814,completed_split,,,,,,,1,1.5945775430807505e-8,0.014519007351217089,1.0982689825190297e-6,0.9995100921026847,6.643558592145382e-9,0.0,1.6738197199800409e-12
neural_surface,5,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,,,,0.04778924999845913,pruned,optuna_pruner,,,,,,,,,,,,,
neural_surface,6,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,,,,0.06975191699893912,pruned,optuna_pruner,,,,,,,,,,,,,
neural_surface,7,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,,,,0.031001208997622598,pruned,optuna_pruner,,,,,,,,,,,,,
neural_surface,8,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,0.0008674772333931903,0.0008674772333931903,0.02986467858935637,0.6202384999996866,completed_split,,,,,,,1,0.00006649081210338517,0.013268317334635798,0.005011246748660182,0.9234763864393494,0.00005621763921226375,0.0004365288477856666,5.850025445397478e-6
neural_surface,8,1,split_0001,126,2006-03-06,2006-08-31,observed_mse_total_variance,0.000952126791756042,0.0009098020125746162,0.031259491243999425,0.6737012919984409,completed_split,,,,,,,1,0.000023651469031757624,0.013902221911865097,0.0017012725866195433,0.927689594356261,0.000024033704903558828,0.0010693231597542763,3.2533550893276697e-6
neural_surface,8,2,split_0002,126,2006-04-04,2006-10-02,observed_mse_total_variance,0.0010247954109685155,0.0009481331453725827,0.03229974036945067,0.7099084169967682,completed_split,,,,,,,3,1.0000091766997919e-8,0.014519007351217089,6.8875864066283e-7,1.0,1.0323781895549625e-13,0.0,6.339376101390374e-22
neural_surface,9,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,0.000799436424490962,0.000799436424490962,0.028538531675392963,0.1609178750004503,completed_split,,,,,,,1,0.007973732216536895,0.013268317334635798,0.6009603188885266,0.3120713305898491,0.0030105686746537685,0.8513935804367065,0.0016326501499861479
neural_surface,9,1,split_0001,126,2006-03-06,2006-08-31,observed_mse_total_variance,0.0009161060439531048,0.0008577712342220334,0.030636154915758693,0.17462591599905863,completed_split,,,,,,,1,0.002797553753527011,0.013902221911865097,0.20123069328503448,0.4354301391338428,0.0008762546931393445,0.2050570249557495,0.0001825580548029393
neural_surface,9,2,split_0002,126,2006-04-04,2006-10-02,observed_mse_total_variance,0.0010148051332777765,0.0009101158672406145,0.032141604715902536,0.18145199999707984,completed_split,,,,,,,1,0.0009158558068829664,0.014519007351217089,0.06307978119497216,0.4184793258867333,0.0003929756348952651,0.06366059929132462,0.00004491280560614541
neural_surface,10,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,0.0008577488503037606,0.0008577488503037606,0.029492722866045647,0.21464791700418573,completed_split,,,,,,,1,0.01747815289955231,0.013268317334635798,1.3172848115357552,0.12022339800117578,0.004535713233053684,1.1403567790985107,0.0023369111586362123
neural_surface,10,1,split_0001,126,2006-03-06,2006-08-31,observed_mse_total_variance,0.0009426801152144868,0.0009002144827591238,0.031100858730668663,0.23470720900513697,completed_split,,,,,,,2,0.0004916472135557608,0.013902221911865097,0.03536465010216502,0.6869488536155203,0.00013802775356452912,0.02365490235388279,0.000012606540622073226
